time,C3,C4
0.000,45.2,38.7
0.001,46.1,39.2
0.002,44.8,37.9
0.003,47.3,40.1
0.004,45.9,38.5
0.005,46.7,39.8
0.006,44.5,37.2
0.007,48.1,41.3
0.008,45.6,38.9
0.009,47.8,40.5
0.010,46.2,39.1
0.011,45.4,38.3
0.012,47.9,40.7
0.013,44.7,37.6
0.014,48.3,41.1
0.015,46.5,39.4
0.016,45.1,38.0
0.017,47.6,40.3
0.018,44.9,37.8
0.019,48.0,40.9
0.020,46.8,39.6
0.021,45.3,38.2
0.022,47.4,40.0
0.023,44.6,37.5
0.024,48.2,41.0
0.025,46.0,38.8
0.026,45.7,38.6
0.027,47.7,40.4
0.028,44.8,37.7
0.029,48.4,41.2
0.030,46.3,39.0
0.031,45.5,38.4
0.032,47.5,40.2
0.033,44.9,37.9
0.034,48.1,40.8
0.035,46.6,39.3
0.036,45.2,38.1
0.037,47.8,40.6
0.038,44.7,37.4
0.039,48.3,41.4
0.040,46.4,39.5
0.041,45.8,38.7
0.042,47.2,39.9
0.043,44.5,37.3
0.044,48.0,40.7
0.045,46.1,38.9
0.046,45.6,38.5
0.047,47.6,40.3
0.048,44.8,37.6
0.049,48.2,41.1
0.050,46.7,39.7
0.051,45.3,38.2
0.052,47.9,40.5
0.053,44.6,37.5
0.054,48.4,41.3
0.055,46.2,38.8
0.056,45.9,38.6
0.057,47.3,40.0
0.058,44.9,37.8
0.059,48.1,40.9
0.060,46.5,39.4
0.061,45.4,38.3
0.062,47.7,40.4
0.063,44.7,37.4
0.064,48.3,41.0
0.065,46.0,38.7
0.066,45.7,38.5
0.067,47.5,40.2
0.068,44.8,37.7
0.069,48.0,40.8
0.070,46.3,39.1
0.071,45.5,38.4
0.072,47.8,40.6
0.073,44.6,37.3
0.074,48.2,41.2
0.075,46.6,39.6
0.076,45.2,38.0
0.077,47.4,39.8
0.078,44.9,37.9
0.079,48.4,41.4
0.080,46.1,38.9
0.081,45.8,38.6
0.082,47.6,40.3
0.083,44.5,37.2
0.084,48.1,40.7
0.085,46.4,39.5
0.086,45.3,38.1
0.087,47.9,40.5
0.088,44.7,37.6
0.089,48.3,41.1
0.090,46.7,39.7
0.091,45.6,38.5
0.092,47.2,39.9
0.093,44.8,37.8
0.094,48.0,40.9
0.095,46.2,38.8
0.096,45.9,38.7
0.097,47.7,40.4
0.098,44.6,37.4
0.099,48.2,41.0
0.100,46.5,39.3
